Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 5113.62it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.82it/s]
Iter 1: Val loss 3.053, Val took 0.103s
Iter 40: Train loss 0.047, Learning Rate 1.000e-04, It/sec 6.614, Tokens/sec 509.275, Trained Tokens 2684, Peak mem 1.893 GB
Iter 41: Train loss 0.198, Learning Rate 1.000e-04, It/sec 6.007, Tokens/sec 186.215, Trained Tokens 2715, Peak mem 1.893 GB
Iter 42: Train loss 0.148, Learning Rate 1.000e-04, It/sec 5.171, Tokens/sec 160.295, Trained Tokens 2746, Peak mem 1.893 GB
Iter 43: Train loss 0.089, Learning Rate 1.000e-04, It/sec 6.116, Tokens/sec 299.685, Trained Tokens 2795, Peak mem 1.893 GB
Iter 44: Train loss 0.192, Learning Rate 1.000e-04, It/sec 7.338, Tokens/sec 220.152, Trained Tokens 2825, Peak mem 1.893 GB
Iter 45: Train loss 0.283, Learning Rate 1.000e-04, It/sec 6.790, Tokens/sec 346.282, Trained Tokens 2876, Peak mem 1.893 GB
Iter 46: Train loss 0.135, Learning Rate 1.000e-04, It/sec 7.420, Tokens/sec 215.172, Trained Tokens 2905, Peak mem 1.893 GB
Iter 47: Train loss 0.073, Learning Rate 1.000e-04, It/sec 7.488, Tokens/sec 224.638, Trained Tokens 2935, Peak mem 1.893 GB
Iter 48: Train loss 0.141, Learning Rate 1.000e-04, It/sec 7.338, Tokens/sec 227.490, Trained Tokens 2966, Peak mem 1.893 GB
Iter 49: Train loss 0.127, Learning Rate 1.000e-04, It/sec 6.965, Tokens/sec 208.942, Trained Tokens 2996, Peak mem 1.893 GB
Iter 50: Train loss 0.266, Learning Rate 1.000e-04, It/sec 6.104, Tokens/sec 299.104, Trained Tokens 3045, Peak mem 1.893 GB
Iter 51: Train loss 0.077, Learning Rate 1.000e-04, It/sec 7.409, Tokens/sec 229.679, Trained Tokens 3076, Peak mem 1.893 GB
Iter 52: Train loss 0.061, Learning Rate 1.000e-04, It/sec 6.826, Tokens/sec 211.605, Trained Tokens 3107, Peak mem 1.893 GB
Iter 53: Train loss 0.089, Learning Rate 1.000e-04, It/sec 6.165, Tokens/sec 191.128, Trained Tokens 3138, Peak mem 1.893 GB
Iter 54: Train loss 0.292, Learning Rate 1.000e-04, It/sec 5.637, Tokens/sec 287.485, Trained Tokens 3189, Peak mem 1.893 GB
Iter 55: Train loss 0.270, Learning Rate 1.000e-04, It/sec 5.663, Tokens/sec 436.086, Trained Tokens 3266, Peak mem 1.893 GB
Iter 56: Train loss 0.389, Learning Rate 1.000e-04, It/sec 5.153, Tokens/sec 252.505, Trained Tokens 3315, Peak mem 1.893 GB
Iter 57: Train loss 0.154, Learning Rate 1.000e-04, It/sec 5.404, Tokens/sec 264.802, Trained Tokens 3364, Peak mem 1.893 GB
Iter 58: Train loss 0.119, Learning Rate 1.000e-04, It/sec 5.164, Tokens/sec 160.074, Trained Tokens 3395, Peak mem 1.893 GB
Iter 59: Train loss 0.185, Learning Rate 1.000e-04, It/sec 6.075, Tokens/sec 467.745, Trained Tokens 3472, Peak mem 1.893 GB
Iter 60: Train loss 0.056, Learning Rate 1.000e-04, It/sec 6.282, Tokens/sec 188.463, Trained Tokens 3502, Peak mem 1.893 GB
Iter 61: Train loss 0.249, Learning Rate 1.000e-04, It/sec 5.699, Tokens/sec 518.569, Trained Tokens 3593, Peak mem 1.893 GB
Iter 62: Train loss 0.189, Learning Rate 1.000e-04, It/sec 6.762, Tokens/sec 344.873, Trained Tokens 3644, Peak mem 1.893 GB
Iter 63: Train loss 0.207, Learning Rate 1.000e-04, It/sec 5.962, Tokens/sec 280.204, Trained Tokens 3691, Peak mem 1.893 GB
Iter 64: Train loss 0.088, Learning Rate 1.000e-04, It/sec 6.732, Tokens/sec 518.356, Trained Tokens 3768, Peak mem 1.893 GB
Iter 65: Train loss 0.136, Learning Rate 1.000e-04, It/sec 4.694, Tokens/sec 586.803, Trained Tokens 3893, Peak mem 1.893 GB
Iter 66: Train loss 0.210, Learning Rate 1.000e-04, It/sec 5.538, Tokens/sec 166.132, Trained Tokens 3923, Peak mem 1.893 GB
Iter 67: Train loss 0.218, Learning Rate 1.000e-04, It/sec 5.959, Tokens/sec 286.050, Trained Tokens 3971, Peak mem 1.893 GB
Iter 68: Train loss 0.018, Learning Rate 1.000e-04, It/sec 6.667, Tokens/sec 513.352, Trained Tokens 4048, Peak mem 1.893 GB
Iter 69: Train loss 0.254, Learning Rate 1.000e-04, It/sec 7.413, Tokens/sec 222.378, Trained Tokens 4078, Peak mem 1.893 GB
Iter 70: Train loss 0.076, Learning Rate 1.000e-04, It/sec 6.855, Tokens/sec 527.808, Trained Tokens 4155, Peak mem 1.893 GB
Iter 71: Train loss 0.114, Learning Rate 1.000e-04, It/sec 5.146, Tokens/sec 447.666, Trained Tokens 4242, Peak mem 1.893 GB
Iter 72: Train loss 0.365, Learning Rate 1.000e-04, It/sec 5.893, Tokens/sec 418.377, Trained Tokens 4313, Peak mem 1.893 GB
Iter 73: Train loss 0.129, Learning Rate 1.000e-04, It/sec 5.176, Tokens/sec 470.987, Trained Tokens 4404, Peak mem 1.893 GB
Iter 74: Train loss 0.157, Learning Rate 1.000e-04, It/sec 6.064, Tokens/sec 309.279, Trained Tokens 4455, Peak mem 1.893 GB
Iter 75: Train loss 0.179, Learning Rate 1.000e-04, It/sec 5.164, Tokens/sec 366.622, Trained Tokens 4526, Peak mem 1.893 GB
Iter 76: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.630, Tokens/sec 338.140, Trained Tokens 4577, Peak mem 1.893 GB
Iter 77: Train loss 0.158, Learning Rate 1.000e-04, It/sec 5.695, Tokens/sec 290.453, Trained Tokens 4628, Peak mem 1.893 GB
Iter 78: Train loss 0.214, Learning Rate 1.000e-04, It/sec 6.690, Tokens/sec 207.401, Trained Tokens 4659, Peak mem 1.893 GB
Iter 79: Train loss 0.019, Learning Rate 1.000e-04, It/sec 6.779, Tokens/sec 521.994, Trained Tokens 4736, Peak mem 1.893 GB
Iter 80: Train loss 0.135, Learning Rate 1.000e-04, It/sec 4.735, Tokens/sec 525.629, Trained Tokens 4847, Peak mem 1.893 GB
Iter 81: Train loss 0.048, Learning Rate 1.000e-04, It/sec 6.793, Tokens/sec 523.040, Trained Tokens 4924, Peak mem 1.893 GB
Iter 82: Train loss 0.114, Learning Rate 1.000e-04, It/sec 7.464, Tokens/sec 231.399, Trained Tokens 4955, Peak mem 1.893 GB
Iter 83: Train loss 0.084, Learning Rate 1.000e-04, It/sec 6.807, Tokens/sec 204.201, Trained Tokens 4985, Peak mem 1.893 GB
Iter 84: Train loss 0.105, Learning Rate 1.000e-04, It/sec 6.808, Tokens/sec 211.058, Trained Tokens 5016, Peak mem 1.893 GB
Iter 85: Train loss 0.161, Learning Rate 1.000e-04, It/sec 7.479, Tokens/sec 381.440, Trained Tokens 5067, Peak mem 1.893 GB
Iter 86: Train loss 0.240, Learning Rate 1.000e-04, It/sec 6.084, Tokens/sec 310.273, Trained Tokens 5118, Peak mem 1.893 GB
Iter 87: Train loss 0.137, Learning Rate 1.000e-04, It/sec 6.664, Tokens/sec 439.851, Trained Tokens 5184, Peak mem 1.893 GB
Iter 88: Train loss 0.090, Learning Rate 1.000e-04, It/sec 6.730, Tokens/sec 518.225, Trained Tokens 5261, Peak mem 1.893 GB
Iter 89: Train loss 0.089, Learning Rate 1.000e-04, It/sec 6.734, Tokens/sec 518.507, Trained Tokens 5338, Peak mem 1.893 GB
