Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 2548.87it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 360

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  1.72it/s]
Iter 1: Val loss 3.053, Val took 0.591s
Iter 40: Train loss 0.133, Learning Rate 1.000e-04, It/sec 4.628, Tokens/sec 661.861, Trained Tokens 3102, Peak mem 1.932 GB
Iter 41: Train loss 0.124, Learning Rate 1.000e-04, It/sec 6.159, Tokens/sec 190.938, Trained Tokens 3133, Peak mem 1.932 GB
Iter 42: Train loss 0.102, Learning Rate 1.000e-04, It/sec 5.088, Tokens/sec 157.729, Trained Tokens 3164, Peak mem 1.932 GB
Iter 43: Train loss 0.139, Learning Rate 1.000e-04, It/sec 6.069, Tokens/sec 297.397, Trained Tokens 3213, Peak mem 1.932 GB
Iter 44: Train loss 0.143, Learning Rate 1.000e-04, It/sec 7.362, Tokens/sec 220.847, Trained Tokens 3243, Peak mem 1.932 GB
Iter 45: Train loss 0.208, Learning Rate 1.000e-04, It/sec 6.330, Tokens/sec 322.823, Trained Tokens 3294, Peak mem 1.932 GB
Iter 46: Train loss 0.102, Learning Rate 1.000e-04, It/sec 7.282, Tokens/sec 211.189, Trained Tokens 3323, Peak mem 1.932 GB
Iter 47: Train loss 0.088, Learning Rate 1.000e-04, It/sec 7.280, Tokens/sec 218.391, Trained Tokens 3353, Peak mem 1.932 GB
Iter 48: Train loss 0.115, Learning Rate 1.000e-04, It/sec 7.452, Tokens/sec 231.023, Trained Tokens 3384, Peak mem 1.932 GB
Iter 49: Train loss 0.141, Learning Rate 1.000e-04, It/sec 6.830, Tokens/sec 204.911, Trained Tokens 3414, Peak mem 1.932 GB
Iter 50: Train loss 0.182, Learning Rate 1.000e-04, It/sec 6.145, Tokens/sec 301.126, Trained Tokens 3463, Peak mem 1.932 GB
Iter 51: Train loss 0.083, Learning Rate 1.000e-04, It/sec 7.401, Tokens/sec 229.418, Trained Tokens 3494, Peak mem 1.932 GB
Iter 52: Train loss 0.118, Learning Rate 1.000e-04, It/sec 6.541, Tokens/sec 202.786, Trained Tokens 3525, Peak mem 1.932 GB
Iter 53: Train loss 0.077, Learning Rate 1.000e-04, It/sec 6.014, Tokens/sec 186.436, Trained Tokens 3556, Peak mem 1.932 GB
Iter 54: Train loss 0.238, Learning Rate 1.000e-04, It/sec 4.828, Tokens/sec 246.236, Trained Tokens 3607, Peak mem 1.932 GB
Iter 55: Train loss 0.307, Learning Rate 1.000e-04, It/sec 4.541, Tokens/sec 649.416, Trained Tokens 3750, Peak mem 1.932 GB
Iter 56: Train loss 0.320, Learning Rate 1.000e-04, It/sec 5.366, Tokens/sec 262.930, Trained Tokens 3799, Peak mem 1.932 GB
Iter 57: Train loss 0.079, Learning Rate 1.000e-04, It/sec 6.120, Tokens/sec 299.880, Trained Tokens 3848, Peak mem 1.932 GB
Iter 58: Train loss 0.195, Learning Rate 1.000e-04, It/sec 6.099, Tokens/sec 189.059, Trained Tokens 3879, Peak mem 1.932 GB
Iter 59: Train loss 0.283, Learning Rate 1.000e-04, It/sec 4.449, Tokens/sec 636.200, Trained Tokens 4022, Peak mem 1.932 GB
Iter 60: Train loss 0.134, Learning Rate 1.000e-04, It/sec 5.779, Tokens/sec 173.376, Trained Tokens 4052, Peak mem 1.932 GB
Iter 61: Train loss 0.173, Learning Rate 1.000e-04, It/sec 5.593, Tokens/sec 509.003, Trained Tokens 4143, Peak mem 1.932 GB
Iter 62: Train loss 0.142, Learning Rate 1.000e-04, It/sec 6.763, Tokens/sec 344.931, Trained Tokens 4194, Peak mem 1.932 GB
Iter 63: Train loss 0.236, Learning Rate 1.000e-04, It/sec 5.990, Tokens/sec 281.523, Trained Tokens 4241, Peak mem 1.932 GB
Iter 64: Train loss 0.242, Learning Rate 1.000e-04, It/sec 4.351, Tokens/sec 526.444, Trained Tokens 4362, Peak mem 1.932 GB
Iter 65: Train loss 0.139, Learning Rate 1.000e-04, It/sec 5.155, Tokens/sec 644.319, Trained Tokens 4487, Peak mem 1.932 GB
Iter 66: Train loss 0.192, Learning Rate 1.000e-04, It/sec 5.592, Tokens/sec 167.764, Trained Tokens 4517, Peak mem 1.932 GB
Iter 67: Train loss 0.263, Learning Rate 1.000e-04, It/sec 6.003, Tokens/sec 288.139, Trained Tokens 4565, Peak mem 1.932 GB
Iter 68: Train loss 0.120, Learning Rate 1.000e-04, It/sec 5.598, Tokens/sec 554.229, Trained Tokens 4664, Peak mem 1.932 GB
Iter 69: Train loss 0.335, Learning Rate 1.000e-04, It/sec 7.519, Tokens/sec 225.569, Trained Tokens 4694, Peak mem 1.932 GB
Iter 70: Train loss 0.123, Learning Rate 1.000e-04, It/sec 4.790, Tokens/sec 474.174, Trained Tokens 4793, Peak mem 1.932 GB
Iter 71: Train loss 0.129, Learning Rate 1.000e-04, It/sec 5.129, Tokens/sec 446.197, Trained Tokens 4880, Peak mem 1.932 GB
Iter 72: Train loss 0.122, Learning Rate 1.000e-04, It/sec 5.970, Tokens/sec 423.841, Trained Tokens 4951, Peak mem 1.932 GB
Iter 73: Train loss 0.108, Learning Rate 1.000e-04, It/sec 5.193, Tokens/sec 472.601, Trained Tokens 5042, Peak mem 1.932 GB
Iter 74: Train loss 0.151, Learning Rate 1.000e-04, It/sec 6.061, Tokens/sec 309.092, Trained Tokens 5093, Peak mem 1.932 GB
Iter 75: Train loss 0.171, Learning Rate 1.000e-04, It/sec 5.145, Tokens/sec 365.307, Trained Tokens 5164, Peak mem 1.932 GB
Iter 76: Train loss 0.161, Learning Rate 1.000e-04, It/sec 6.645, Tokens/sec 338.877, Trained Tokens 5215, Peak mem 1.932 GB
Iter 77: Train loss 0.296, Learning Rate 1.000e-04, It/sec 5.684, Tokens/sec 289.899, Trained Tokens 5266, Peak mem 1.932 GB
Iter 78: Train loss 0.205, Learning Rate 1.000e-04, It/sec 6.820, Tokens/sec 211.429, Trained Tokens 5297, Peak mem 1.932 GB
Iter 79: Train loss 0.167, Learning Rate 1.000e-04, It/sec 5.615, Tokens/sec 432.391, Trained Tokens 5374, Peak mem 1.932 GB
Iter 80: Train loss 0.176, Learning Rate 1.000e-04, It/sec 4.651, Tokens/sec 516.263, Trained Tokens 5485, Peak mem 1.932 GB
Iter 81: Train loss 0.138, Learning Rate 1.000e-04, It/sec 4.841, Tokens/sec 692.334, Trained Tokens 5628, Peak mem 1.932 GB
Iter 82: Train loss 0.111, Learning Rate 1.000e-04, It/sec 7.393, Tokens/sec 229.168, Trained Tokens 5659, Peak mem 1.932 GB
Iter 83: Train loss 0.065, Learning Rate 1.000e-04, It/sec 6.813, Tokens/sec 204.388, Trained Tokens 5689, Peak mem 1.932 GB
Iter 84: Train loss 0.052, Learning Rate 1.000e-04, It/sec 6.755, Tokens/sec 209.415, Trained Tokens 5720, Peak mem 1.932 GB
Iter 85: Train loss 0.259, Learning Rate 1.000e-04, It/sec 7.451, Tokens/sec 380.001, Trained Tokens 5771, Peak mem 1.932 GB
Iter 86: Train loss 0.236, Learning Rate 1.000e-04, It/sec 6.187, Tokens/sec 315.533, Trained Tokens 5822, Peak mem 1.932 GB
Iter 87: Train loss 0.146, Learning Rate 1.000e-04, It/sec 6.805, Tokens/sec 449.130, Trained Tokens 5888, Peak mem 1.932 GB
Iter 88: Train loss 0.120, Learning Rate 1.000e-04, It/sec 5.005, Tokens/sec 715.778, Trained Tokens 6031, Peak mem 1.932 GB
Iter 89: Train loss 0.112, Learning Rate 1.000e-04, It/sec 5.125, Tokens/sec 507.359, Trained Tokens 6130, Peak mem 1.932 GB
Iter 90: Train loss 0.230, Learning Rate 1.000e-04, It/sec 6.133, Tokens/sec 288.271, Trained Tokens 6177, Peak mem 1.932 GB
Iter 91: Train loss 0.051, Learning Rate 1.000e-04, It/sec 6.026, Tokens/sec 180.765, Trained Tokens 6207, Peak mem 1.932 GB
Iter 92: Train loss 0.043, Learning Rate 1.000e-04, It/sec 5.401, Tokens/sec 156.615, Trained Tokens 6236, Peak mem 1.932 GB
Iter 93: Train loss 0.135, Learning Rate 1.000e-04, It/sec 4.291, Tokens/sec 390.486, Trained Tokens 6327, Peak mem 1.932 GB
Iter 94: Train loss 0.172, Learning Rate 1.000e-04, It/sec 4.235, Tokens/sec 605.583, Trained Tokens 6470, Peak mem 1.932 GB
Iter 95: Train loss 0.182, Learning Rate 1.000e-04, It/sec 6.700, Tokens/sec 341.704, Trained Tokens 6521, Peak mem 1.932 GB
Iter 96: Train loss 0.098, Learning Rate 1.000e-04, It/sec 7.235, Tokens/sec 217.052, Trained Tokens 6551, Peak mem 1.932 GB
Iter 97: Train loss 0.099, Learning Rate 1.000e-04, It/sec 5.570, Tokens/sec 506.825, Trained Tokens 6642, Peak mem 1.932 GB
Iter 98: Train loss 0.152, Learning Rate 1.000e-04, It/sec 7.479, Tokens/sec 231.836, Trained Tokens 6673, Peak mem 1.932 GB
Iter 99: Train loss 0.154, Learning Rate 1.000e-04, It/sec 4.686, Tokens/sec 585.784, Trained Tokens 6798, Peak mem 1.932 GB
Iter 100: Train loss 0.097, Learning Rate 1.000e-04, It/sec 4.707, Tokens/sec 673.105, Trained Tokens 6941, Peak mem 1.932 GB
Iter 101: Train loss 0.154, Learning Rate 1.000e-04, It/sec 5.115, Tokens/sec 542.171, Trained Tokens 7047, Peak mem 1.932 GB
Iter 102: Train loss 0.188, Learning Rate 1.000e-04, It/sec 6.057, Tokens/sec 296.799, Trained Tokens 7096, Peak mem 1.932 GB
Iter 103: Train loss 0.098, Learning Rate 1.000e-04, It/sec 5.129, Tokens/sec 251.325, Trained Tokens 7145, Peak mem 1.932 GB
Iter 104: Train loss 0.201, Learning Rate 1.000e-04, It/sec 6.024, Tokens/sec 307.208, Trained Tokens 7196, Peak mem 1.932 GB
Iter 105: Train loss 0.070, Learning Rate 1.000e-04, It/sec 5.156, Tokens/sec 675.496, Trained Tokens 7327, Peak mem 1.932 GB
Iter 106: Train loss 0.124, Learning Rate 1.000e-04, It/sec 6.776, Tokens/sec 210.048, Trained Tokens 7358, Peak mem 1.932 GB
Iter 107: Train loss 0.075, Learning Rate 1.000e-04, It/sec 5.144, Tokens/sec 673.814, Trained Tokens 7489, Peak mem 1.932 GB
Iter 108: Train loss 0.158, Learning Rate 1.000e-04, It/sec 5.532, Tokens/sec 165.954, Trained Tokens 7519, Peak mem 1.932 GB
Iter 109: Train loss 0.125, Learning Rate 1.000e-04, It/sec 6.843, Tokens/sec 198.438, Trained Tokens 7548, Peak mem 1.932 GB
Iter 110: Train loss 0.079, Learning Rate 1.000e-04, It/sec 5.101, Tokens/sec 668.260, Trained Tokens 7679, Peak mem 1.932 GB
Iter 111: Train loss 0.117, Learning Rate 1.000e-04, It/sec 6.752, Tokens/sec 209.307, Trained Tokens 7710, Peak mem 1.932 GB
Iter 112: Train loss 0.109, Learning Rate 1.000e-04, It/sec 7.360, Tokens/sec 220.805, Trained Tokens 7740, Peak mem 1.932 GB
Iter 113: Train loss 0.033, Learning Rate 1.000e-04, It/sec 6.805, Tokens/sec 210.941, Trained Tokens 7771, Peak mem 1.932 GB
Iter 114: Train loss 0.122, Learning Rate 1.000e-04, It/sec 4.781, Tokens/sec 626.251, Trained Tokens 7902, Peak mem 1.932 GB
Iter 115: Train loss 0.131, Learning Rate 1.000e-04, It/sec 5.184, Tokens/sec 264.386, Trained Tokens 7953, Peak mem 1.932 GB
Iter 116: Train loss 0.152, Learning Rate 1.000e-04, It/sec 6.707, Tokens/sec 342.063, Trained Tokens 8004, Peak mem 1.932 GB
Iter 117: Train loss 0.184, Learning Rate 1.000e-04, It/sec 4.159, Tokens/sec 594.742, Trained Tokens 8147, Peak mem 1.990 GB
Iter 118: Train loss 0.169, Learning Rate 1.000e-04, It/sec 5.108, Tokens/sec 464.797, Trained Tokens 8238, Peak mem 1.990 GB
Iter 119: Train loss 0.140, Learning Rate 1.000e-04, It/sec 5.502, Tokens/sec 269.601, Trained Tokens 8287, Peak mem 1.990 GB
Iter 120: Train loss 0.041, Learning Rate 1.000e-04, It/sec 7.286, Tokens/sec 218.568, Trained Tokens 8317, Peak mem 1.990 GB
Iter 121: Train loss 0.072, Learning Rate 1.000e-04, It/sec 6.180, Tokens/sec 191.574, Trained Tokens 8348, Peak mem 1.990 GB
Iter 122: Train loss 0.147, Learning Rate 1.000e-04, It/sec 5.138, Tokens/sec 364.804, Trained Tokens 8419, Peak mem 1.990 GB
Iter 123: Train loss 0.018, Learning Rate 1.000e-04, It/sec 7.397, Tokens/sec 221.918, Trained Tokens 8449, Peak mem 1.990 GB
Iter 124: Train loss 0.216, Learning Rate 1.000e-04, It/sec 5.984, Tokens/sec 299.180, Trained Tokens 8499, Peak mem 1.990 GB
Iter 125: Train loss 0.135, Learning Rate 1.000e-04, It/sec 6.080, Tokens/sec 188.471, Trained Tokens 8530, Peak mem 1.990 GB
Iter 126: Train loss 0.163, Learning Rate 1.000e-04, It/sec 4.382, Tokens/sec 530.211, Trained Tokens 8651, Peak mem 1.990 GB
Iter 127: Train loss 0.030, Learning Rate 1.000e-04, It/sec 6.812, Tokens/sec 197.561, Trained Tokens 8680, Peak mem 1.990 GB
Iter 128: Train loss 0.112, Learning Rate 1.000e-04, It/sec 5.990, Tokens/sec 293.499, Trained Tokens 8729, Peak mem 1.990 GB
Iter 129: Train loss 0.076, Learning Rate 1.000e-04, It/sec 4.852, Tokens/sec 693.829, Trained Tokens 8872, Peak mem 1.990 GB
Iter 130: Train loss 0.142, Learning Rate 1.000e-04, It/sec 5.567, Tokens/sec 506.625, Trained Tokens 8963, Peak mem 1.990 GB
Iter 131: Train loss 0.104, Learning Rate 1.000e-04, It/sec 4.791, Tokens/sec 685.101, Trained Tokens 9106, Peak mem 1.990 GB
Iter 132: Train loss 0.179, Learning Rate 1.000e-04, It/sec 5.953, Tokens/sec 303.618, Trained Tokens 9157, Peak mem 1.990 GB
Iter 133: Train loss 0.131, Learning Rate 1.000e-04, It/sec 6.105, Tokens/sec 470.062, Trained Tokens 9234, Peak mem 1.990 GB
Iter 134: Train loss 0.070, Learning Rate 1.000e-04, It/sec 6.802, Tokens/sec 204.068, Trained Tokens 9264, Peak mem 1.990 GB
Iter 135: Train loss 0.132, Learning Rate 1.000e-04, It/sec 5.106, Tokens/sec 541.235, Trained Tokens 9370, Peak mem 1.990 GB
Iter 136: Train loss 0.078, Learning Rate 1.000e-04, It/sec 7.302, Tokens/sec 226.377, Trained Tokens 9401, Peak mem 1.990 GB
Iter 137: Train loss 0.074, Learning Rate 1.000e-04, It/sec 7.449, Tokens/sec 223.457, Trained Tokens 9431, Peak mem 1.990 GB
Iter 138: Train loss 0.107, Learning Rate 1.000e-04, It/sec 6.067, Tokens/sec 297.281, Trained Tokens 9480, Peak mem 1.990 GB
Iter 139: Train loss 0.104, Learning Rate 1.000e-04, It/sec 4.768, Tokens/sec 529.202, Trained Tokens 9591, Peak mem 1.990 GB
Iter 140: Train loss 0.097, Learning Rate 1.000e-04, It/sec 5.515, Tokens/sec 270.247, Trained Tokens 9640, Peak mem 1.990 GB
Iter 141: Train loss 0.097, Learning Rate 1.000e-04, It/sec 7.430, Tokens/sec 230.344, Trained Tokens 9671, Peak mem 1.990 GB
Iter 142: Train loss 0.102, Learning Rate 1.000e-04, It/sec 4.408, Tokens/sec 630.358, Trained Tokens 9814, Peak mem 1.990 GB
Iter 143: Train loss 0.107, Learning Rate 1.000e-04, It/sec 4.372, Tokens/sec 625.265, Trained Tokens 9957, Peak mem 1.990 GB
Iter 144: Train loss 0.117, Learning Rate 1.000e-04, It/sec 5.576, Tokens/sec 730.438, Trained Tokens 10088, Peak mem 1.990 GB
Iter 145: Train loss 0.141, Learning Rate 1.000e-04, It/sec 5.991, Tokens/sec 293.554, Trained Tokens 10137, Peak mem 1.990 GB
Iter 146: Train loss 0.111, Learning Rate 1.000e-04, It/sec 6.067, Tokens/sec 430.775, Trained Tokens 10208, Peak mem 1.990 GB
Iter 147: Train loss 0.098, Learning Rate 1.000e-04, It/sec 6.749, Tokens/sec 202.481, Trained Tokens 10238, Peak mem 1.990 GB
Iter 148: Train loss 0.150, Learning Rate 1.000e-04, It/sec 6.012, Tokens/sec 282.554, Trained Tokens 10285, Peak mem 1.990 GB
Iter 149: Train loss 0.049, Learning Rate 1.000e-04, It/sec 4.782, Tokens/sec 626.463, Trained Tokens 10416, Peak mem 1.990 GB
Iter 150: Train loss 0.090, Learning Rate 1.000e-04, It/sec 6.741, Tokens/sec 343.788, Trained Tokens 10467, Peak mem 1.990 GB
Iter 151: Train loss 0.233, Learning Rate 1.000e-04, It/sec 5.616, Tokens/sec 432.416, Trained Tokens 10544, Peak mem 1.990 GB
Iter 152: Train loss 0.282, Learning Rate 1.000e-04, It/sec 7.298, Tokens/sec 226.247, Trained Tokens 10575, Peak mem 1.990 GB
Iter 153: Train loss 0.056, Learning Rate 1.000e-04, It/sec 5.163, Tokens/sec 511.179, Trained Tokens 10674, Peak mem 1.990 GB
Iter 154: Train loss 0.087, Learning Rate 1.000e-04, It/sec 5.080, Tokens/sec 462.318, Trained Tokens 10765, Peak mem 1.990 GB
Iter 155: Train loss 0.088, Learning Rate 1.000e-04, It/sec 5.899, Tokens/sec 182.861, Trained Tokens 10796, Peak mem 1.990 GB
Iter 156: Train loss 0.055, Learning Rate 1.000e-04, It/sec 5.646, Tokens/sec 372.633, Trained Tokens 10862, Peak mem 1.990 GB
Iter 157: Train loss 0.126, Learning Rate 1.000e-04, It/sec 6.142, Tokens/sec 190.389, Trained Tokens 10893, Peak mem 1.990 GB
Iter 158: Train loss 0.116, Learning Rate 1.000e-04, It/sec 5.533, Tokens/sec 547.770, Trained Tokens 10992, Peak mem 1.990 GB
Iter 159: Train loss 0.071, Learning Rate 1.000e-04, It/sec 6.760, Tokens/sec 209.567, Trained Tokens 11023, Peak mem 1.990 GB
