Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4111.17it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 72

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00,  2.87it/s]
Iter 1: Val loss 3.053, Val took 0.357s
Iter 40: Train loss 0.168, Learning Rate 1.000e-04, It/sec 5.036, Tokens/sec 659.682, Trained Tokens 2546, Peak mem 1.752 GB
Iter 41: Train loss 0.304, Learning Rate 1.000e-04, It/sec 6.213, Tokens/sec 192.592, Trained Tokens 2577, Peak mem 1.752 GB
Iter 42: Train loss 0.424, Learning Rate 1.000e-04, It/sec 6.061, Tokens/sec 181.826, Trained Tokens 2607, Peak mem 1.752 GB
Iter 43: Train loss 0.618, Learning Rate 1.000e-04, It/sec 6.132, Tokens/sec 294.331, Trained Tokens 2655, Peak mem 1.752 GB
Iter 44: Train loss 0.389, Learning Rate 1.000e-04, It/sec 7.339, Tokens/sec 212.834, Trained Tokens 2684, Peak mem 1.752 GB
Iter 45: Train loss 0.198, Learning Rate 1.000e-04, It/sec 5.085, Tokens/sec 361.044, Trained Tokens 2755, Peak mem 1.757 GB
Iter 46: Train loss 0.074, Learning Rate 1.000e-04, It/sec 6.726, Tokens/sec 195.063, Trained Tokens 2784, Peak mem 1.757 GB
Iter 47: Train loss 0.087, Learning Rate 1.000e-04, It/sec 7.581, Tokens/sec 235.013, Trained Tokens 2815, Peak mem 1.757 GB
Iter 48: Train loss 0.190, Learning Rate 1.000e-04, It/sec 5.123, Tokens/sec 466.203, Trained Tokens 2906, Peak mem 1.757 GB
Iter 49: Train loss 0.040, Learning Rate 1.000e-04, It/sec 7.469, Tokens/sec 231.538, Trained Tokens 2937, Peak mem 1.757 GB
