Calling `python -m mlx_lm.lora...` directly is deprecated. Use `mlx_lm.lora...` or `python -m mlx_lm lora ...` instead.
Loading pretrained model

Fetching 9 files:   0%|          | 0/9 [00:00<?, ?it/s]
Fetching 9 files: 100%|██████████| 9/9 [00:00<00:00, 4687.54it/s]
Loading datasets
Training
Trainable parameters: 0.484% (2.884M/596.050M)
Starting training..., iters: 144

Calculating loss...:   0%|          | 0/1 [00:00<?, ?it/s]
Calculating loss...: 100%|██████████| 1/1 [00:00<00:00, 10.98it/s]
Iter 1: Val loss 3.053, Val took 0.098s
Iter 1: Train loss 2.988, Learning Rate 1.000e-04, It/sec 4.765, Tokens/sec 147.709, Trained Tokens 31, Peak mem 1.670 GB
Iter 2: Train loss 1.436, Learning Rate 1.000e-04, It/sec 5.635, Tokens/sec 400.086, Trained Tokens 102, Peak mem 1.670 GB
Iter 3: Train loss 0.894, Learning Rate 1.000e-04, It/sec 5.230, Tokens/sec 685.100, Trained Tokens 233, Peak mem 1.670 GB
Iter 4: Train loss 3.058, Learning Rate 1.000e-04, It/sec 5.985, Tokens/sec 179.558, Trained Tokens 263, Peak mem 1.670 GB
Iter 5: Train loss 1.170, Learning Rate 1.000e-04, It/sec 7.778, Tokens/sec 225.550, Trained Tokens 292, Peak mem 1.670 GB
Iter 6: Train loss 0.859, Learning Rate 1.000e-04, It/sec 4.922, Tokens/sec 324.833, Trained Tokens 358, Peak mem 1.670 GB
Iter 7: Train loss 0.994, Learning Rate 1.000e-04, It/sec 5.475, Tokens/sec 257.312, Trained Tokens 405, Peak mem 1.670 GB
Iter 8: Train loss 0.697, Learning Rate 1.000e-04, It/sec 4.006, Tokens/sec 500.777, Trained Tokens 530, Peak mem 1.752 GB
Iter 9: Train loss 1.010, Learning Rate 1.000e-04, It/sec 5.660, Tokens/sec 175.463, Trained Tokens 561, Peak mem 1.752 GB
Iter 10: Train loss 0.902, Learning Rate 1.000e-04, It/sec 6.079, Tokens/sec 297.853, Trained Tokens 610, Peak mem 1.752 GB
Iter 11: Train loss 0.998, Learning Rate 1.000e-04, It/sec 6.297, Tokens/sec 195.202, Trained Tokens 641, Peak mem 1.752 GB
Iter 12: Train loss 0.832, Learning Rate 1.000e-04, It/sec 5.585, Tokens/sec 284.812, Trained Tokens 692, Peak mem 1.752 GB
Iter 13: Train loss 0.367, Learning Rate 1.000e-04, It/sec 4.899, Tokens/sec 612.354, Trained Tokens 817, Peak mem 1.752 GB
Iter 14: Train loss 0.258, Learning Rate 1.000e-04, It/sec 6.719, Tokens/sec 208.281, Trained Tokens 848, Peak mem 1.752 GB
Iter 15: Train loss 0.215, Learning Rate 1.000e-04, It/sec 6.779, Tokens/sec 203.378, Trained Tokens 878, Peak mem 1.752 GB
Iter 16: Train loss 0.169, Learning Rate 1.000e-04, It/sec 5.959, Tokens/sec 184.738, Trained Tokens 909, Peak mem 1.752 GB
Iter 17: Train loss 0.227, Learning Rate 1.000e-04, It/sec 6.320, Tokens/sec 195.911, Trained Tokens 940, Peak mem 1.752 GB
Iter 18: Train loss 0.245, Learning Rate 1.000e-04, It/sec 6.149, Tokens/sec 184.477, Trained Tokens 970, Peak mem 1.752 GB
Iter 19: Train loss 0.453, Learning Rate 1.000e-04, It/sec 6.068, Tokens/sec 291.265, Trained Tokens 1018, Peak mem 1.752 GB
Iter 20: Train loss 0.274, Learning Rate 1.000e-04, It/sec 7.403, Tokens/sec 214.697, Trained Tokens 1047, Peak mem 1.752 GB
Iter 21: Train loss 0.244, Learning Rate 1.000e-04, It/sec 5.132, Tokens/sec 364.404, Trained Tokens 1118, Peak mem 1.752 GB
Iter 22: Train loss 0.087, Learning Rate 1.000e-04, It/sec 6.676, Tokens/sec 193.596, Trained Tokens 1147, Peak mem 1.752 GB
Iter 23: Train loss 0.235, Learning Rate 1.000e-04, It/sec 5.284, Tokens/sec 269.466, Trained Tokens 1198, Peak mem 1.752 GB
Iter 24: Train loss 0.218, Learning Rate 1.000e-04, It/sec 4.314, Tokens/sec 392.533, Trained Tokens 1289, Peak mem 1.752 GB
Iter 25: Train loss 0.132, Learning Rate 1.000e-04, It/sec 5.132, Tokens/sec 261.722, Trained Tokens 1340, Peak mem 1.752 GB
Iter 26: Train loss 0.109, Learning Rate 1.000e-04, It/sec 7.391, Tokens/sec 221.731, Trained Tokens 1370, Peak mem 1.752 GB
Iter 27: Train loss 0.208, Learning Rate 1.000e-04, It/sec 6.770, Tokens/sec 345.254, Trained Tokens 1421, Peak mem 1.752 GB
Iter 28: Train loss 0.162, Learning Rate 1.000e-04, It/sec 4.739, Tokens/sec 431.227, Trained Tokens 1512, Peak mem 1.752 GB
Iter 29: Train loss 0.085, Learning Rate 1.000e-04, It/sec 6.793, Tokens/sec 210.586, Trained Tokens 1543, Peak mem 1.752 GB
Iter 30: Train loss 0.119, Learning Rate 1.000e-04, It/sec 6.082, Tokens/sec 188.552, Trained Tokens 1574, Peak mem 1.752 GB
Iter 31: Train loss 0.123, Learning Rate 1.000e-04, It/sec 6.720, Tokens/sec 201.610, Trained Tokens 1604, Peak mem 1.752 GB
Iter 32: Train loss 0.070, Learning Rate 1.000e-04, It/sec 7.372, Tokens/sec 221.146, Trained Tokens 1634, Peak mem 1.752 GB
Iter 33: Train loss 0.451, Learning Rate 1.000e-04, It/sec 5.084, Tokens/sec 538.872, Trained Tokens 1740, Peak mem 1.752 GB
Iter 34: Train loss 0.342, Learning Rate 1.000e-04, It/sec 6.093, Tokens/sec 298.545, Trained Tokens 1789, Peak mem 1.752 GB
Iter 35: Train loss 0.093, Learning Rate 1.000e-04, It/sec 7.442, Tokens/sec 215.825, Trained Tokens 1818, Peak mem 1.752 GB
Iter 36: Train loss 0.073, Learning Rate 1.000e-04, It/sec 7.383, Tokens/sec 228.882, Trained Tokens 1849, Peak mem 1.752 GB
Iter 37: Train loss 0.271, Learning Rate 1.000e-04, It/sec 6.803, Tokens/sec 346.971, Trained Tokens 1900, Peak mem 1.752 GB
Iter 38: Train loss 0.293, Learning Rate 1.000e-04, It/sec 4.784, Tokens/sec 626.748, Trained Tokens 2031, Peak mem 1.752 GB
Iter 39: Train loss 0.235, Learning Rate 1.000e-04, It/sec 5.624, Tokens/sec 286.825, Trained Tokens 2082, Peak mem 1.752 GB
Iter 40: Train loss 0.213, Learning Rate 1.000e-04, It/sec 4.778, Tokens/sec 224.586, Trained Tokens 2129, Peak mem 1.752 GB
Iter 41: Train loss 0.773, Learning Rate 1.000e-04, It/sec 7.102, Tokens/sec 213.060, Trained Tokens 2159, Peak mem 1.752 GB
Iter 42: Train loss 0.144, Learning Rate 1.000e-04, It/sec 4.415, Tokens/sec 578.341, Trained Tokens 2290, Peak mem 1.752 GB
Iter 43: Train loss 0.184, Learning Rate 1.000e-04, It/sec 5.908, Tokens/sec 301.333, Trained Tokens 2341, Peak mem 1.752 GB
Iter 44: Train loss 0.207, Learning Rate 1.000e-04, It/sec 4.630, Tokens/sec 606.479, Trained Tokens 2472, Peak mem 1.752 GB
Iter 45: Train loss 0.193, Learning Rate 1.000e-04, It/sec 6.055, Tokens/sec 429.904, Trained Tokens 2543, Peak mem 1.752 GB
Iter 46: Train loss 0.165, Learning Rate 1.000e-04, It/sec 6.875, Tokens/sec 350.613, Trained Tokens 2594, Peak mem 1.752 GB
Iter 47: Train loss 0.128, Learning Rate 1.000e-04, It/sec 5.622, Tokens/sec 275.470, Trained Tokens 2643, Peak mem 1.752 GB
Iter 48: Train loss 0.252, Learning Rate 1.000e-04, It/sec 7.364, Tokens/sec 220.920, Trained Tokens 2673, Peak mem 1.752 GB
Iter 49: Train loss 0.324, Learning Rate 1.000e-04, It/sec 6.156, Tokens/sec 437.097, Trained Tokens 2744, Peak mem 1.752 GB
Iter 50: Train loss 0.082, Learning Rate 1.000e-04, It/sec 7.359, Tokens/sec 228.134, Trained Tokens 2775, Peak mem 1.752 GB
Iter 51: Train loss 0.164, Learning Rate 1.000e-04, It/sec 6.146, Tokens/sec 288.860, Trained Tokens 2822, Peak mem 1.752 GB
Iter 52: Train loss 0.104, Learning Rate 1.000e-04, It/sec 6.691, Tokens/sec 207.424, Trained Tokens 2853, Peak mem 1.752 GB
Iter 53: Train loss 0.195, Learning Rate 1.000e-04, It/sec 6.128, Tokens/sec 288.027, Trained Tokens 2900, Peak mem 1.752 GB
Iter 54: Train loss 0.070, Learning Rate 1.000e-04, It/sec 7.387, Tokens/sec 228.999, Trained Tokens 2931, Peak mem 1.752 GB
Iter 55: Train loss 0.241, Learning Rate 1.000e-04, It/sec 6.117, Tokens/sec 403.751, Trained Tokens 2997, Peak mem 1.752 GB
Iter 56: Train loss 0.157, Learning Rate 1.000e-04, It/sec 5.079, Tokens/sec 259.005, Trained Tokens 3048, Peak mem 1.752 GB
Iter 57: Train loss 0.072, Learning Rate 1.000e-04, It/sec 6.649, Tokens/sec 199.472, Trained Tokens 3078, Peak mem 1.752 GB
